optimizer,sharpe_ratio,max_drawdown,time_underwater,cagr,risk_adjusted_return,annual_return,annual_volatility,total_return,returns_mean,returns_std,returns_min,returns_max,returns_q25,returns_q50,returns_q75,returns_skew,returns_kurtosis,invested_5_abs_mean,invested_5_abs_std,invested_5_abs_min,invested_5_abs_max,invested_5_pct_mean,invested_5_pct_std,invested_5_pct_min,invested_5_pct_max,invested_10_abs_mean,invested_10_abs_std,invested_10_abs_min,invested_10_abs_max,invested_10_pct_mean,invested_10_pct_std,invested_10_pct_min,invested_10_pct_max,invested_50_abs_mean,invested_50_abs_std,invested_50_abs_min,invested_50_abs_max,invested_50_pct_mean,invested_50_pct_std,invested_50_pct_min,invested_50_pct_max,invested_100_abs_mean,invested_100_abs_std,invested_100_abs_min,invested_100_abs_max,invested_100_pct_mean,invested_100_pct_std,invested_100_pct_min,invested_100_pct_max,invested_top_5_mean,invested_top_5_std,invested_top_5_min,invested_top_5_max,invested_top_10_mean,invested_top_10_std,invested_top_10_min,invested_top_10_max,invested_top_50_mean,invested_top_50_std,invested_top_50_min,invested_top_50_max,turnover_mean,turnover_std,turnover_min,turnover_max,turnover_q25,turnover_q50,turnover_q75,change_rate_mean,change_rate_std,change_rate_min,change_rate_max,change_rate_q25,change_rate_q50,change_rate_q75,avg_computation_time,max_computation_time,min_computation_time,avg_memory_usage_mb,max_memory_usage_mb
CMA_CVAR,0.7686347022785815,0.3799569212193841,0.8187840997661731,0.15495199659814984,-0.022468392171172108,0.16108719109658,0.18355558326775212,3.335705150652953,0.16108719109658,0.18355558326775212,-33.063871556715505,29.823934107898012,-1.0238722874710855,0.15569837936111774,1.4971300856282523,-0.5918967381389445,19.38613386824702,191.66129032258064,10.071314213559521,184.0,253.0,0.6772483756981648,0.03558768273342587,0.6501766784452296,0.8939929328621908,182.31854838709677,8.66278621984674,179.0,242.0,0.6442351533112961,0.030610552013592727,0.6325088339222615,0.8551236749116607,150.20967741935485,4.7933391597485295,148.0,196.0,0.5307762452980738,0.016937594204058416,0.5229681978798587,0.6925795053003534,141.4516129032258,3.937476613818454,117.0,144.0,0.49982902085945513,0.013913344925153543,0.4134275618374558,0.508833922261484,0.03602304965102949,0.0026945358196034303,0.034990355422024895,0.06238607319656369,0.07196785715383955,0.004758974541198364,0.06997654397301495,0.11416303236103639,0.35718065962446355,0.011445523501828068,0.3494755606990239,0.4262717561081931,0.06915543252172603,0.013887118818390012,0.06645652006920884,0.24415383109527344,0.06668947256634337,0.06683650105235883,0.0670347640271429,999.5788767169267,900.7782573210516,68.69646922880898,1923.5461028559625,99.8421026381358,1286.6211522041701,1923.4167179153148,0.0,0.0,0.0,0.0,0.0
CMA_MEAN_VARIANCE,0.8075589185346342,0.38328982937809397,0.8043647700701481,0.16244745551100603,-0.015116021572455174,0.16736072042597872,0.1824767419984339,3.6309121153905233,0.16736072042597872,0.1824767419984339,-32.24856164101579,29.832868225318656,-0.9826645697674912,0.17621479978413745,1.5506038665764574,-0.583478601371466,18.591986117427965,259.8467741935484,5.902781002217602,240.0,271.0,0.9181864812492874,0.020857883400062203,0.8480565371024735,0.9575971731448764,250.21774193548387,7.214538272948417,225.0,264.0,0.8841616322808615,0.025493068102291228,0.7950530035335689,0.9328621908127208,194.1048387096774,8.647218596032156,158.0,210.0,0.6858828222956798,0.030555542742163093,0.558303886925795,0.7420494699646644,136.47177419354838,6.143296408819842,114.0,149.0,0.4822324176450473,0.021707761161907573,0.4028268551236749,0.5265017667844523,0.03857773986496665,0.004894380159061141,0.03393139713277666,0.07741484494203547,0.07676783301706366,0.008582793213265312,0.06783412913902095,0.1384436256809475,0.3571891577098213,0.021742299761177343,0.32544736099776833,0.48728684883808665,0.14609265060674279,0.023412951279405746,0.09345814956098254,0.3669212130891383,0.13658009845838712,0.14441072682792766,0.15174492758346514,19175.265418965027,288760.4126618041,0.8306473166887516,4538239.336546144,8.045549214358218,21.57021304247095,86.3507707685138,0.0,0.0,0.0,0.0,0.0
CMA_SORTINO,0.7616242651103332,0.36926645822505877,0.8102104442712393,0.14971641229876465,-0.02241260560503114,0.15551072885122966,0.1779233344562608,3.1396871641136768,0.15551072885122966,0.1779233344562608,-31.942563542024434,28.153956706619972,-0.9650869369307933,0.1521825197331239,1.4873318643804856,-0.5780551752951318,18.798918150446998,259.68951612903226,9.37675063102885,138.0,271.0,0.9176307990425167,0.03313339445593233,0.4876325088339223,0.9575971731448764,250.82258064516128,9.869634769296177,131.0,262.0,0.8862988715376722,0.034875034520481185,0.4628975265017668,0.9257950530035336,196.47177419354838,9.310610033057523,119.0,216.0,0.6942465519206656,0.032899682095609624,0.4204946996466431,0.7632508833922261,136.48790322580646,6.641777879416304,94.0,147.0,0.4822894106918955,0.023469179785923333,0.3321554770318021,0.519434628975265,0.03845131476702461,0.006331857374833518,0.03466576208453395,0.10330800556721607,0.07651800613939927,0.011467411693492425,0.06923038099162233,0.19541508728260995,0.3556115485393568,0.029775232063998406,0.3276197134755101,0.6723280687002688,0.14704649840039904,0.02588118064297713,0.11690321874794252,0.40328614267347673,0.13809520309589113,0.1435202917019463,0.1505590962412805,1554760.7154042802,24404432.090886634,0.7630182943351472,383547625.44787645,5.870519831037987,17.467252919611,77.82170383383172,0.0,0.0,0.0,0.0,0.0
PSO_LMoments,0.7877691540548937,0.37576083051135123,0.8074824629773967,0.15784440531523747,-0.018603375658555965,0.16328995604187344,0.1818933317004294,3.447548599657642,0.16328995604187344,0.1818933317004294,-32.6220966226013,27.98095412576749,-0.9784488768655737,0.1703933087583165,1.518771704453484,-0.643854599389238,18.529141181841023,277.2782258064516,2.4658004254762185,269.0,283.0,0.979781716630571,0.008713075708396528,0.950530035335689,1.0,271.4233870967742,3.6232181743055794,260.0,281.0,0.9590932406246436,0.012802891075284735,0.9187279151943463,0.9929328621908127,219.7258064516129,7.433199091892757,200.0,238.0,0.7764162772141799,0.026265721172765922,0.7067137809187279,0.8409893992932862,140.08870967741936,5.125173399691957,124.0,158.0,0.49501310840077506,0.01811015335580197,0.4381625441696113,0.558303886925795,0.03553144821696931,0.0012515307965581535,0.03264050959411635,0.038959908015788,0.0701864581577573,0.002425339702983531,0.06490126423373725,0.07634022658085278,0.31926145523446503,0.009789040399054542,0.29482855815449205,0.3497059679553374,0.30520205407614215,0.01994421416514623,0.19818875336518146,0.35436156340090874,0.2944225604256132,0.30561429599155,0.31748193531489477,5.938599897597595,26.30726128553447,0.6247756512990004,363.6947778148026,1.3402730630914643,2.0456600089264443,3.3516353857480823,0.0,0.0,0.0,0.0,0.0
EfficientRisk,1.1307406395456037,0.5760174173985908,0.9033515198752923,0.6728544319255847,0.09706905821426925,0.6865495631446956,0.5894805049304264,187.526103990332,0.6865495631446956,0.5894805049304264,-53.0783172873848,75.65819994740474,-3.4641956621738026,0.13606418131531406,4.359367471254869,0.7021322684240312,7.2554396977473985,1.0040322580645162,0.06350006350009525,1.0,2.0,0.00354781716630571,0.0002243818498236581,0.0035335689045936395,0.007067137809187279,1.0,0.0,1.0,1.0,0.0035335689045936387,8.691157574501987e-19,0.0035335689045936395,0.0035335689045936395,1.0,0.0,1.0,1.0,0.0035335689045936387,8.691157574501987e-19,0.0035335689045936395,0.0035335689045936395,1.0,0.0,1.0,1.0,0.0035335689045936387,8.691157574501987e-19,0.0035335689045936395,0.0035335689045936395,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4898773279352227,0.5009113254738338,0.0,1.0,0.0,0.0,1.0,inf,,0.0,inf,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
CMA_L_MOMENTS,0.7832253864736564,0.38073541624442514,0.8067030397505845,0.158010977537546,-0.01977742704254623,0.16371927672490055,0.18349670376744678,3.4540681263774706,0.16371927672490055,0.18349670376744678,-33.25899009975522,30.83594295554192,-0.9723791442586536,0.17097976844984597,1.5184248614406215,-0.5578411298072156,19.41773177173414,259.7943548387097,6.016344841354919,236.0,271.0,0.9180012538470306,0.0212591690507241,0.833922261484099,0.9575971731448764,250.53629032258064,7.18739150936512,223.0,263.0,0.8852872449561152,0.025397143142632934,0.7879858657243817,0.9293286219081273,196.08467741935485,9.991741888599552,163.0,219.0,0.6928787187963068,0.035306508440281104,0.5759717314487632,0.773851590106007,136.8790322580645,7.266018453107487,105.0,153.0,0.48367149207796645,0.025674976866104197,0.3710247349823322,0.5406360424028268,0.03829817234471632,0.005549224986382854,0.032695035844419934,0.08174166333067502,0.07613932353674922,0.009419703236378491,0.06533476402276883,0.14430852518469917,0.35465457781502757,0.024116472077401845,0.31038269786844136,0.4999558291788082,0.14507651495311716,0.024753217081594753,0.09217370922792362,0.35044151105072646,0.13470178123838422,0.1424539572947265,0.14999320296511381,3306.184520702681,45535.23294089261,0.30919342628013247,715402.85203228,7.249749350174729,20.704313341406337,89.08352262436532,0.0,0.0,0.0,0.0,0.0
PSO_MeanVariance,0.7931908357053917,0.37960605407126863,0.8102104442712393,0.1589236238307521,-0.017599323638142983,0.16420753084235357,0.18180685448049655,3.4899417123821923,0.16420753084235357,0.18180685448049655,-32.625040635382284,28.461585540401153,-0.9822944581057209,0.15510753545977707,1.5112415077560044,-0.6472668594815183,19.00074220354693,277.27016129032256,2.6024740592253437,269.0,283.0,0.9797532201071467,0.00919602141069026,0.950530035335689,1.0,271.5,3.8356942796953266,260.0,281.0,0.959363957597173,0.013553690034259104,0.9187279151943463,0.9929328621908127,219.25,8.21090910557905,198.0,239.0,0.7747349823321557,0.029013813093918907,0.6996466431095406,0.8445229681978799,140.0241935483871,5.300620557479205,125.0,152.0,0.49478513621338194,0.018730107976958333,0.4416961130742049,0.5371024734982333,0.035588649603658755,0.001419447220760328,0.03158682090605992,0.03918357915156703,0.07030090860726142,0.0027459674309811746,0.06265603580896935,0.07766911586781011,0.3194780655602185,0.011840814595947397,0.2936922235738972,0.35425376573792966,0.30481991626540994,0.03493531619821753,0.0,0.35568340365868345,0.29330145127206714,0.3081926000794035,0.3211084978379384,4.618941971935318,22.459341132750225,0.0,347.23561834313733,1.4333840079935758,2.0099906598655086,3.283171035619293,0.0,0.0,0.0,0.0,0.0
SPY_Benchmark,0.6517156459032157,0.33717250197728266,0.8281371784879189,0.1251872609701823,-0.04047404782474992,0.13316007358612708,0.173634121410877,2.323522518140365,0.13316007358612708,0.173634121410877,-27.574756633855362,22.83196716669329,-0.8749846140677726,0.11130556711870376,1.4117683915019494,-0.5633528813560726,13.358013100703555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
A2A_Ensemble,1.1616894015739625,0.4018326107949671,0.8203429462197973,0.27040210301192436,0.05357329081447007,0.2612139307553167,0.2076406399408466,10.438930846361973,0.2612139307553167,0.2076406399408466,-34.843348697862716,28.941164695241042,-1.2638585310968273,0.22167474372252816,1.8684926079676725,-0.6264803222084687,12.791503182826304,283.0,0.0,283.0,283.0,1.0,0.0,1.0,1.0,283.0,0.0,283.0,283.0,1.0,0.0,1.0,1.0,234.15725806451613,9.190927346453618,202.0,263.0,0.8274108058816827,0.03247677507580784,0.7137809187279152,0.9293286219081273,52.62903225806452,5.701718956567742,34.0,66.0,0.18596831186595236,0.020147416807659867,0.12014134275618374,0.2332155477031802,0.23679102232342325,0.01205452256302536,0.19397291752927273,0.2747006452225434,0.27431982951775885,0.011870675117186074,0.23269658983554795,0.31848360092335587,0.45952035540039077,0.014223771720579025,0.401481922633592,0.5126999666385872,0.18711262035918041,0.08030024077520259,0.06292959804203876,0.3306608543990087,0.11112234236388405,0.1745610009034655,0.26883267378656683,0.112796005492956,0.07658264740640386,0.005923275895169481,0.42470853293565464,0.056680999221015535,0.08783278839563356,0.15807896863247722,,,,,
