timestamp,num_positions,top_5_assets,top_5_weights,total_weight
2018-01-08,283,"ENPH, DVA, NKE, GWW, TSCO","0.1817, 0.0066, 0.0066, 0.0060, 0.0058",1.0
2018-01-23,283,"ENPH, TKO, DXCM, KO, TSCO","0.1630, 0.0240, 0.0111, 0.0108, 0.0096",1.0
2018-02-06,283,"DECK, KDP, ENPH, MKTX, NOW","0.1314, 0.0567, 0.0328, 0.0125, 0.0119",1.0
2018-02-21,283,"NFLX, KDP, DUK, MKTX, NEM","0.1749, 0.0347, 0.0152, 0.0125, 0.0103",1.0
2018-03-07,283,"NFLX, KDP, GWW, MKTX, DUK","0.1837, 0.0285, 0.0154, 0.0130, 0.0082",1.0
2018-03-21,283,"ENPH, KDP, GWW, MKTX, SBUX","0.1834, 0.0292, 0.0190, 0.0145, 0.0080",1.0
2018-04-05,283,"ENPH, KDP, GWW, DUK, STX","0.1844, 0.0325, 0.0183, 0.0090, 0.0081",1.0
2018-04-19,283,"ENPH, KDP, DUK, GWW, NEM","0.1863, 0.0315, 0.0148, 0.0148, 0.0088",1.0
2018-05-03,283,"ENPH, DUK, CMG, EG, LULU","0.1883, 0.0278, 0.0160, 0.0158, 0.0080",1.0000000000000002
2018-05-17,283,"ENPH, KDP, SO, ZBRA, DXCM","0.1892, 0.0254, 0.0200, 0.0164, 0.0107",1.0
2018-06-01,283,"DXCM, ENPH, KDP, ES, LULU","0.1716, 0.0314, 0.0224, 0.0207, 0.0103",1.0
2018-06-15,283,"TKO, KDP, DXCM, ES, VMC","0.1838, 0.0253, 0.0194, 0.0143, 0.0100",1.0
2018-06-29,283,"TKO, ENPH, SRE, UDR, EXPD","0.1850, 0.0173, 0.0161, 0.0142, 0.0114",1.0
2018-07-16,283,"TKO, UDR, ENPH, D, WAB","0.1851, 0.0157, 0.0145, 0.0104, 0.0094",1.0
2018-07-30,283,"TKO, EXPD, ENPH, D, VZ","0.1836, 0.0151, 0.0118, 0.0109, 0.0096",1.0
2018-08-13,283,"TKO, SRE, ENPH, EXPD, MOH","0.1842, 0.0151, 0.0107, 0.0080, 0.0080",1.0
2018-08-27,283,"AMD, DUK, DXCM, L, MOH","0.1845, 0.0208, 0.0130, 0.0114, 0.0080",1.0
2018-09-11,283,"AMD, MOH, DUK, EVRG, CB","0.1842, 0.0199, 0.0126, 0.0082, 0.0081",1.0000000000000002
